id,name,category,address,city,region,country,latitude,longitude,rating,is_closed
50,Orakei Espresso Bar 50,Restaurant,"762 Kitchener St, Onehunga",Auckland,Auckland,New Zealand,-36.848803,174.89919,4.3,False
51,Greenlane Espresso Bar 51,Cafe,"282 Ponsonby Rd, Henderson",Auckland,Auckland,New Zealand,-36.81282,174.863915,2.9,False
52,Wynyard Eatery 52,Cafe,"393 Jervois Rd, Mt Eden",Auckland,Auckland,New Zealand,-36.895107,174.940439,4.5,False
53,Devonport Brunch Club 53,Cafe,"789 Nuffield St, Auckland CBD",Auckland,Auckland,New Zealand,-36.83911,174.72369,4.1,False
54,Henderson Bakery 54,Restaurant,"560 Shortland St, Grey Lynn",Auckland,Auckland,New Zealand,-36.89031,174.857775,4.5,False
55,Albany Eatery 55,Restaurant,"942 St Lukes Rd, Mt Eden",Auckland,Auckland,New Zealand,-37.039766,174.691041,4.9,True
56,Wynyard Brunch Club 56,Cafe,"473 K Rd, Takapuna",Auckland,Auckland,New Zealand,-36.825861,174.816793,4.4,False
57,St Heliers Bistro 57,Restaurant,"852 Mt Eden Rd, Albany",Auckland,Auckland,New Zealand,-36.861594,174.691634,3.2,False
58,Epsom Kitchen 58,Cafe,"800 Queen St, Ponsonby",Auckland,Auckland,New Zealand,-36.777121,174.514567,2.8,False
59,Ponsonby Espresso Bar 59,Cafe,"578 Kitchener St, Devonport",Auckland,Auckland,New Zealand,-37.049527,174.59596,3.7,False
60,Karangahape Eatery 60,Restaurant,"111 Tamaki Dr, Auckland CBD",Auckland,Auckland,New Zealand,-36.955177,174.794263,4.9,False
61,Takapuna Coffee Roasters 61,Cafe,"851 Parnell Rd, Grey Lynn",Auckland,Auckland,New Zealand,-36.883405,174.981975,3.0,False
62,Herne Bay Cafe 62,Cafe,"439 Ponsonby Rd, Sandringham",Auckland,Auckland,New Zealand,-36.798665,174.884862,4.4,False
63,Britomart Brunch Club 63,Restaurant,"651 Dominion Rd, Henderson",Auckland,Auckland,New Zealand,-36.737124,174.894366,4.8,False
64,Mt Albert Espresso Bar 64,Cafe,"846 Victoria St, Kingsland",Auckland,Auckland,New Zealand,-36.665695,174.660885,3.7,False
65,Grafton Espresso Bar 65,Cafe,"685 Victoria St, St Heliers",Auckland,Auckland,New Zealand,-36.995919,174.932155,4.9,True
66,Kingsland Deli 66,Cafe,"611 High St, Kingsland",Auckland,Auckland,New Zealand,-36.949235,174.631202,5.0,False
67,Papatoetoe Bakery 67,Restaurant,"708 Shortland St, Onehunga",Auckland,Auckland,New Zealand,-36.996551,174.841887,4.1,False
68,Grafton Bistro 68,Cafe,"378 High St, Onehunga",Auckland,Auckland,New Zealand,-36.90822,174.719232,4.5,False
69,Sylvia Park Bistro 69,Cafe,"237 Jervois Rd, Newmarket",Auckland,Auckland,New Zealand,-36.778208,174.68872,4.8,False
70,Takapuna Kitchen 70,Restaurant,"284 St Lukes Rd, Howick",Auckland,Auckland,New Zealand,-36.67836,174.828447,4.2,True
71,Mt Eden Bistro 71,Cafe,"547 Mt Eden Rd, Mt Eden",Auckland,Auckland,New Zealand,-36.944229,174.639428,4.1,False
72,Papatoetoe Coffee Roasters 72,Restaurant,"588 Shortland St, Remuera",Auckland,Auckland,New Zealand,-36.908906,174.984645,4.4,True
73,Manukau Coffee Roasters 73,Restaurant,"411 Ponsonby Rd, Onehunga",Auckland,Auckland,New Zealand,-36.665672,174.652239,4.7,False
74,Mission Bay Coffee Roasters 74,Restaurant,"122 Wellesley St, Mission Bay",Auckland,Auckland,New Zealand,-36.962283,174.88799,3.7,False
75,Pakuranga Espresso Bar 75,Cafe,"603 Tamaki Dr, Albany",Auckland,Auckland,New Zealand,-36.932039,174.762913,4.2,False
76,Devonport Kitchen 76,Cafe,"84 Great North Rd, Takapuna",Auckland,Auckland,New Zealand,-36.670614,174.558136,4.2,False
77,Royal Oak Espresso Bar 77,Cafe,"238 Tamaki Dr, Remuera",Auckland,Auckland,New Zealand,-37.081712,174.736938,3.2,False
78,Meadowbank Kitchen 78,Cafe,"558 Dominion Rd, Grey Lynn",Auckland,Auckland,New Zealand,-36.797679,174.96543,3.7,False
79,Mission Bay Cafe & Bar 79,Restaurant,"583 Kitchener St, Remuera",Auckland,Auckland,New Zealand,-37.005521,174.604481,4.7,True
80,Otahuhu Bakery 80,Cafe,"83 Wellesley St, Ponsonby",Auckland,Auckland,New Zealand,-36.793735,174.983197,3.4,False
