年,月,日照時間(時間),日照時間(時間)00,日照時間0.1時間未満日数(日),日照時間0.1時間未満日数(日)00,日照率40%以上日数(日),日照率40%以上日数(日)00
2021,1,66.7,8,"","","","",""
2021,2,111.4,8,"","","","",""
2021,3,175.4,5,"","","","",""
2021,4,238.9,8,"","","","",""
2021,5,160.5,8,"","","","",""
2021,6,180.5,8,"","","","",""
2021,7,207.9,8,"","","","",""
2021,8,164.0,8,"","","","",""
2021,9,164.8,8,"","","","",""
2021,10,192.6,8,"","","","",""
2021,11,146.2,8,"","","","",""
2021,12,63.8,8,"","","","",""
2022,1,76.0,8,"","","","",""
2022,2,86.3,8,"","","","",""
2022,3,148.4,8,"","","","",""
2022,4,211.8,8,"","","","",""
2022,5,237.5,8,"","","","",""
2022,6,225.3,8,"","","","",""
2022,7,192.0,8,"","","","",""
2022,8,179.9,8,"","","","",""
2022,9,156.0,8,"","","","",""
2022,10,162.1,8,"","","","",""
2022,11,158.4,8,"","","","",""
2022,12,52.9,8,"","","","",""
2023,1,81.6,8,"","","","",""
2023,2,95.8,8,"","","","",""
2023,3,206.4,8,"","","","",""
2023,4,193.5,8,"","","","",""
2023,5,223.3,8,"","","","",""
2023,6,162.9,8,"","","","",""
2023,7,233.9,8,"","","","",""
2023,8,261.3,8,"","","","",""
2023,9,158.7,8,"","","","",""
2023,10,174.5,8,"","","","",""
2023,11,121.8,8,"","","","",""
2023,12,77.8,8,"","","","",""
